S1;well;1;2;3;4;5;6;7;8;9;10;11;12
;A;1_V1H;9_V1H;1_V2H;9_V2H;1_V3H;9_V3H;1_V4H;9_V4H;1_V5H;9_V5H;1_V6H;9_V6H
;B;2_V1H;10_V1H;2_V2H;10_V2H;2_V3H;10_V3H;2_V4H;10_V4H;2_V5H;10_V5H;2_V6H;10_V6H
;C;3_V1H;11_V1H;3_V2H;11_V2H;3_V3H;11_V3H;3_V4H;11_V4H;3_V5H;11_V5H;3_V6H;11_V6H
;D;4_V1H;12_V1H;4_V2H;12_V2H;4_V3H;12_V3H;4_V4H;12_V4H;4_V5H;12_V5H;4_V6H;12_V6H
;E;5_V1H;13_V1H;5_V2H;13_V2H;5_V3H;13_V3H;5_V4H;13_V4H;5_V5H;13_V5H;5_V6H;13_V6H
;F;6_V1H;14_V1H;6_V2H;14_V2H;6_V3H;14_V3H;6_V4H;14_V4H;6_V5H;14_V5H;6_V6H;14_V6H
;G;7_V1H;15_V1H;7_V2H;15_V2H;7_V3H;15_V3H;7_V4H;15_V4H;7_V5H;15_V5H;7_V6H;15_V6H
;H;8_V1H;16_V1H;8_V2H;16_V2H;8_V3H;16_V3H;8_V4H;16_V4H;8_V5H;16_V5H;8_V6H;16_V6H
;;;;;;;;;;;;;
S2;well;1;2;3;4;5;6;7;8;9;10;11;12
;A;1_V7H;9_V7H;1_V8H;9_V8H;1_V9H;9_V9H;1_V10H;9_V10H;1_V11H;9_V11H;1_V12H;9_V12H
;B;2_V7H;10_V7H;2_V8H;10_V8H;2_V9H;10_V9H;2_V10H;10_V10H;2_V11H;10_V11H;2_V12H;10_V12H
;C;3_V7H;11_V7H;3_V8H;11_V8H;3_V9H;11_V9H;3_V10H;11_V10H;3_V11H;11_V11H;3_V12H;11_V12H
;D;4_V7H;12_V7H;4_V8H;12_V8H;4_V9H;12_V9H;4_V10H;12_V10H;4_V11H;12_V11H;4_V12H;12_V12H
;E;5_V7H;13_V7H;5_V8H;13_V8H;5_V9H;13_V9H;5_V10H;13_V10H;5_V11H;13_V11H;5_V12H;13_V12H
;F;6_V7H;14_V7H;6_V8H;14_V8H;6_V9H;14_V9H;6_V10H;14_V10H;6_V11H;14_V11H;6_V12H;14_V12H
