Run Date,Tuesday, August 30, 2022 12:26 PM
Process Type,Regional Picking
Operator,Molecular devices


Annotations:
Date,Operator,Annotation
Tuesday, August 30, 2022 12:26 PM,Molecular devices,Regional Picking carried out on 8/30/2022 at 12:26:12 PM by Molecular devices



Source Barcode,Source Region,Feature Position X,Feature Position Y,Destination Barcode,Destination Well
Auto6379745392272112630,A1,11.5019,37.7996,Auto6379745913555269522,A1
Auto6379745392272112630,A1,15.9901,37.6414,Auto6379745913555269522,B1
Auto6379745392272112630,A1,20.0702,33.7258,Auto6379745913555269522,C1
Auto6379745392272112630,A2,38.2039,36.0144,Auto6379745913555269522,D1
Auto6379745392272112630,A2,45.8743,34.072,Auto6379745913555269522,E1
Auto6379745392272112630,A2,53.7902,33.4512,Auto6379745913555269522,F1
Auto6379745392272112630,A3,64.6202,31.8746,Auto6379745913555269522,G1
Auto6379745392272112630,A3,75.898,30.2856,Auto6379745913555269522,H1
Auto6379745392272112630,A3,73.3412,26.8341,Auto6379745913555269522,A2
Auto6379745392272112630,A4,105.769,38.7681,Auto6379745913555269522,B2
Auto6379745392272112630,A4,109.577,29.8426,Auto6379745913555269522,C2
Auto6379745392272112630,A4,104.844,29.459,Auto6379745913555269522,D2
Auto6379745392272112630,B1,14.1394,67.4927,Auto6379745913555269522,E2
Auto6379745392272112630,B1,17.7895,56.1824,Auto6379745913555269522,F2
Auto6379745392272112630,B1,25.5953,56.1024,Auto6379745913555269522,G2
Auto6379745392272112630,B2,36.628,71.7773,Auto6379745913555269522,H2
Auto6379745392272112630,B2,54.7985,69.7065,Auto6379745913555269522,A3
Auto6379745392272112630,B2,37.6016,57.513,Auto6379745913555269522,B3
Auto6379745392272112630,B3,79.598,64.438,Auto6379745913555269522,C3
Auto6379745392272112630,B3,79.4704,58.3614,Auto6379745913555269522,D3
Auto6379745392272112630,B3,78.4235,57.0496,Auto6379745913555269522,E3
Auto6379745392272112630,B4,109.963,70.852,Auto6379745913555269522,F3
Auto6379745392272112630,B4,107.575,67.9848,Auto6379745913555269522,G3
Auto6379745392272112630,B4,96.3918,54.8125,Auto6379745913555269522,H3
Auto6379745392272112630,C1,26.8051,104.085,Auto6379745913555269522,A4
Auto6379745392272112630,C1,13.7103,100.522,Auto6379745913555269522,B4
Auto6379745392272112630,C1,9.50541,98.1761,Auto6379745913555269522,C4
Auto6379745392272112630,C2,43.4954,104.073,Auto6379745913555269522,D4
Auto6379745392272112630,C2,37.6056,102.906,Auto6379745913555269522,E4
Auto6379745392272112630,C2,54.3748,94.1403,Auto6379745913555269522,F4
Auto6379745392272112630,C3,69.179,102.131,Auto6379745913555269522,G4
